URL,Size(kB),No of Outlinks,Content Type
https://www.nytimes.com/2021/09/20/podcasts/the-daily/dixie-fire-wildfires-california.html,562,88,text/html
https://www.nytimes.com/section/nyregion,706,79,text/html
https://www.nytimes.com/2021/09/20/opinion/norm-macdonald-christian-comedy.html,316,57,text/html
https://www.nytimes.com/section/opinion,542,103,text/html
https://www.nytimes.com/2021/09/20/opinion/vaccine-kids-pfizer.html,318,64,text/html
https://www.nytimes.com/2021/09/20/world/asia/myanmar-danny-fenster-jail.html,374,53,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-080e7ec6514fdc62bcbb7966d9b257d2.png,2,0,image/png
https://www.nytimes.com/2021/09/20/arts/television/emmys-best-worst-moments.html,538,55,text/html
https://www.nytimes.com/2021/09/20/briefing/covid-infections-us-delta.html,584,96,text/html
https://www.nytimes.com/2021/05/21/well/pandemic-wellness-tech-break.html,286,50,text/html
https://www.nytimes.com/2021/09/20/dining/river-cafe-podcast-ruth-rogers.html,419,56,text/html
https://www.nytimes.com/2021/09/20/business/daily-news-editor.html,261,45,text/html
https://www.nytimes.com/live/2021/09/20/world/canada-election-2021,496,60,text/html
https://www.nytimes.com/2021/09/20/us/supreme-court-fisa-surveillance-rulings.html,369,50,text/html
https://www.nytimes.com/2021/09/20/us/politics/biden-covid-19-vaccines.html,491,82,text/html
https://www.nytimes.com/column/california-today,326,57,text/html
https://www.nytimes.com/2021/09/20/us/troops-deploy-iraq.html,454,42,text/html
https://www.nytimes.com/international/section/us,730,70,text/html
https://www.nytimes.com/es/section/estados-unidos,660,83,text/html
https://www.nytimes.com/2021/09/19/us/nashville-party-vehicles.html,412,45,text/html
https://www.nytimes.com/ca/section/us,730,70,text/html
https://www.nytimes.com/2021/09/20/us/politics/democrats-debt-ceiling.html,280,48,text/html
https://www.nytimes.com/2021/09/20/us/politics/abortion-poll.html,271,51,text/html
https://www.nytimes.com/spotlight/race,739,80,text/html
https://www.nytimes.com/2021/09/20/us/california-housing-laws.html,565,77,text/html
https://www.nytimes.com/2021/09/18/us/election-workers-legal-aid.html,316,62,text/html
https://www.nytimes.com/interactive/2021/us/wildfires-air-quality-tracker.html,152,38,text/html
https://www.nytimes.com/2021/09/20/us/politics/wisconsin-trump-biden-election-fraud.html,280,49,text/html
https://www.nytimes.com/by/jason-kao,516,53,text/html
https://www.nytimes.com/by/albert-sun,468,51,text/html
https://www.nytimes.com/interactive/2021/us/louisiana-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/world/france-covid-cases.html,1024,173,text/html
https://www.nytimes.com/interactive/2021/us/iowa-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/alabama-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/virginia-covid-cases.html,1024,198,text/html
https://www.nytimes.com/by/jugal-k-patel,703,55,text/html
https://www.nytimes.com/interactive/2021/us/arkansas-covid-cases.html,1024,199,text/html
https://www.nytimes.com/by/timothy-williams,374,52,text/html
https://www.nytimes.com/interactive/2021/us/rhode-island-covid-cases.html,1024,189,text/html
https://www.nytimes.com/interactive/2021/us/west-virginia-covid-cases.html,1024,198,text/html
https://www.nytimes.com/interactive/2021/us/oconee-south-carolina-covid-cases.html,1024,178,text/html
https://www.nytimes.com/interactive/2021/us/spartanburg-south-carolina-covid-cases.html,1024,180,text/html
https://www.nytimes.com/interactive/2021/us/colorado-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/hawaii-covid-cases.html,1024,188,text/html
https://www.nytimes.com/by/charlie-smart,402,53,text/html
https://www.nytimes.com/interactive/2021/us/texas-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/pennsylvania-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/world/brazil-covid-cases.html,684,205,text/html
https://www.nytimes.com/by/jon-huang,861,54,text/html
https://www.nytimes.com/by/kk-rebecca-lai,571,53,text/html
https://www.nytimes.com/by/blacki-migliozzi,805,54,text/html
https://www.nytimes.com/by/amy-schoenfeld-walker,321,51,text/html
https://www.nytimes.com/interactive/2021/world/united-kingdom-covid-cases.html,1024,194,text/html
https://www.nytimes.com/by/mitch-smith,445,57,text/html
https://www.nytimes.com/interactive/2021/us/laurens-south-carolina-covid-cases.html,1024,179,text/html
https://www.nytimes.com/interactive/2021/us/maryland-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/world/mexico-covid-cases.html,696,205,text/html
https://www.nytimes.com/by/amy-harmon,457,57,text/html
https://www.nytimes.com/by/danielle-ivory,524,54,text/html
https://www.nytimes.com/by/eleanor-lutz,601,54,text/html
https://www.nytimes.com/interactive/2021/01/14/us/covid-19-death-toll.html,247,155,text/html
https://www.nytimes.com/interactive/2021/us/new-mexico-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2020/10/30/science/wear-mask-covid-particles-ul.html,189,50,text/html
https://www.nytimes.com/section/us,730,70,text/html
https://www.nytimes.com/2021/09/19/opinion/white-evangelical-politics.html,385,57,text/html
https://www.nytimes.com/2021/09/19/opinion/silence-noise.html,306,47,text/html
https://www.nytimes.com/ca/,1024,208,text/html
https://www.nytimes.com/privacy/privacy-policy,146,48,text/html
https://www.nytimes.com/subscription?campaignId=37WXW,48,27,text/html
https://www.nytimes.com/interactive/2020/us/covid-19-vaccine-doses.html,556,174,text/html
https://www.nytimes.com/2021/09/20/opinion/city-tree-nature.html,382,62,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-28865b72953380a40aa43318108876cb.png,3,0,image/png
